# Run_start	"20/06/2025 12:01:30.9081"
# Run_start_s	3833258490.9081
# Trigger_level	2.500
# NI9205_Pre-Trig	200
# NI9205 _Post-Trig	300
# SM300_Frequency	140000
# SM300_Level	1.000
# SM300_Pulse_every	NaN
# SM300_Pulse_ON_time	NaN
# T1	18.1
# T2	1413.1
# T3	18.0
# T4	18.2
# NI9201_ech_by_s	1000.000
# NI9775_ech_by_s	1000.000
# NI9205_ech_by_s	1000.000
# NI9775_Pre-Trig	200
# NI9775_Post-Trig	300
# NI9201_Pre-Trig	200
# NI9201_Post-Trig	300
# TTi	NaN
# Keithley	NaN
# Spellman	0.000
# E1_att	-75.60000
# E1_a	10.34156
# E1_b	-51.31475
# E2_att	-77.20000
# E2_a	10.30257
# E2_b	-50.82615
# E3_att	-76.80000
# E3_a	10.36694
# E3_b	-51.22425
# E4_att	-75.90000
# E4_a	10.33638
# E4_b	-51.09452
# E5_att	-76.40000
# E5_a	10.34682
# E5_b	-50.96270
# E6_att	-77.50000
# E6_a	10.36249
# E6_b	-51.07622
# E7_att	-74.40000
# E7_a	10.39803
# E7_b	-51.24630
# E8_att	NaN
# E8_a	NaN
# E8_b	NaN
# E9_att	NaN
# E9_a	NaN
# E9_b	NaN
# NI9205_MP1l_a	1210.00000
# NI9205_MP2l_a	1210.00000
# NI9205_MP3l_a	1210.00000
# NI9205_MP4l_a	1210.00000
# NI9205_MP5l_a	1210.00000
# NI9205_MP6l_a	1220.00000
# NI9205_MP7l_a	1050.00000
# NI9205_MP8l_a	1050.00000
# NI9205_MP9l_a	500.00000
# NI9201_MP1m_a	1.00000
# NI9201_MP2m_a	1.00000
# NI9201_MP3m_a	1.00000
# NI9201_MP4m_a	1.00000
# NI9201_MP5m_a	1.00000
# NI9201_MP6m_a	1.00000
# NI9775_MP1r_a	1.00000
# NI9775_MP2r_a	1.00000

Index	NI9205_E2	NI9205_E3	NI9205_E4	NI9205_E5	NI9205_E6	NI9205_E7	NI9205_MP1l	NI9205_MP2l	NI9205_MP3l	NI9205_MP4l	NI9205_MP5l	NI9205_MP6l	NI9205_MP7l	NI9205_Power1	NI9205_Power2	NI9205_Allure1	NI9205_Sync	NI9205_Arc1	NI9205_Arc2	NI9205_Penning1	NI9205_Penning2	NI9205_bayard-alpert	NI9205_MP8l	NI9201_Sync	NI9201_MP3m	NI9775_Sync
0	3.999876E-2	2.227264E-2	2.522700E-2	3.080744E-2	2.227264E-2	2.128786E-2	5.531304E-3	4.546520E-3	4.546520E-3	6.187827E-3	5.859566E-3	5.531304E-3	4.874781E-3	9.356431E-4	1.263905E-3	2.187818E+0	-4.650206E+0	1.263905E-3	1.002723E+1	7.997496E+0	7.121993E+0	5.228716E-1	3.233474E-3	-4.658864E+0	-3.091633E-3	-4.652588E+0
1	3.934224E-2	2.194438E-2	2.457047E-2	3.047918E-2	2.161612E-2	2.095960E-2	5.203043E-3	4.218258E-3	4.218258E-3	5.531304E-3	5.531304E-3	5.531304E-3	4.546520E-3	1.592166E-3	1.592166E-3	2.194711E+0	-4.649877E+0	3.889997E-3	1.002165E+1	8.011283E+0	7.138406E+0	5.228716E-1	3.561735E-3	-4.653719E+0	-3.091633E-3	-4.651202E+0
2	4.065529E-2	2.260090E-2	2.555526E-2	3.146396E-2	2.292916E-2	2.194438E-2	5.531304E-3	4.546520E-3	4.218258E-3	6.187827E-3	5.203043E-3	5.531304E-3	5.203043E-3	-4.914139E-5	-4.914139E-5	2.190444E+0	-4.654145E+0	6.073816E-4	1.002526E+1	8.049363E+0	7.173203E+0	5.231999E-1	4.218258E-3	-4.658864E+0	-3.091633E-3	-4.653974E+0
3	4.098355E-2	2.325743E-2	2.588352E-2	3.146396E-2	2.292916E-2	2.194438E-2	5.531304E-3	5.203043E-3	4.874781E-3	6.516089E-3	5.531304E-3	4.874781E-3	5.859566E-3	2.791201E-4	-3.774029E-4	2.186177E+0	-4.655130E+0	2.791201E-4	1.002690E+1	8.054287E+0	7.178784E+0	5.225433E-1	4.218258E-3	-4.658864E+0	2.053627E-3	-4.659517E+0
4	4.098355E-2	2.325743E-2	2.621178E-2	3.212049E-2	2.358569E-2	2.260090E-2	5.531304E-3	5.531304E-3	4.874781E-3	6.187827E-3	5.531304E-3	4.874781E-3	5.859566E-3	-1.362187E-3	-7.056644E-4	2.198651E+0	-4.659397E+0	1.263905E-3	1.002953E+1	8.096634E+0	7.217848E+0	5.225433E-1	4.874781E-3	-4.658864E+0	-3.091633E-3	-4.659517E+0
5	4.164007E-2	2.358569E-2	2.588352E-2	3.212049E-2	2.358569E-2	2.227264E-2	5.859566E-3	5.531304E-3	4.874781E-3	6.844350E-3	5.859566E-3	5.203043E-3	6.516089E-3	-1.033926E-3	-7.056644E-4	2.193398E+0	-4.658741E+0	2.248689E-3	1.002428E+1	8.080877E+0	7.204717E+0	5.218868E-1	5.203043E-3	-4.669154E+0	2.053627E-3	-4.659517E+0
6	4.164007E-2	2.391395E-2	2.621178E-2	3.212049E-2	2.292916E-2	2.292916E-2	5.859566E-3	5.531304E-3	4.874781E-3	6.516089E-3	4.546520E-3	4.874781E-3	5.859566E-3	-1.033926E-3	-1.033926E-3	2.197009E+0	-4.660054E+0	1.920428E-3	1.002329E+1	8.090069E+0	7.211611E+0	5.225433E-1	4.874781E-3	-4.658864E+0	-3.091633E-3	-4.656746E+0
7	4.164007E-2	2.358569E-2	2.621178E-2	3.212049E-2	2.358569E-2	2.260090E-2	6.516089E-3	6.187827E-3	5.531304E-3	7.500873E-3	6.187827E-3	6.187827E-3	6.844350E-3	-3.774029E-4	-3.774029E-4	2.189787E+0	-4.655458E+0	-1.690449E-3	1.002821E+1	8.045752E+0	7.165325E+0	5.222151E-1	4.546520E-3	-4.669154E+0	-3.091633E-3	-4.662289E+0
8	4.229659E-2	2.457047E-2	2.752483E-2	3.310527E-2	2.457047E-2	2.424221E-2	6.516089E-3	6.187827E-3	6.187827E-3	7.172612E-3	3.889997E-3	3.889997E-3	7.172612E-3	-3.988280E-3	-3.988280E-3	2.192085E+0	-4.668588E+0	2.576951E-3	1.002723E+1	8.159335E+0	7.282189E+0	5.222151E-1	6.516089E-3	-4.658864E+0	-3.091633E-3	-4.665061E+0
9	4.360964E-2	2.522700E-2	2.818135E-2	3.343353E-2	2.522700E-2	2.457047E-2	8.157396E-3	7.172612E-3	6.844350E-3	9.142181E-3	5.531304E-3	5.531304E-3	8.157396E-3	-3.660018E-3	-3.331757E-3	2.196681E+0	-4.668588E+0	-1.362187E-3	1.003183E+1	8.143906E+0	7.269715E+0	5.225433E-1	6.187827E-3	-4.664009E+0	-3.091633E-3	-4.669218E+0
