毎月,まいげつ/まいつき,every month,0
太い,ふとい,fat,0
五日,いつか,"five days, fifth day",0
出る,でる,"to appear,to leave",0
話,はなし,"talk,story",0
写真,しゃしん,photograph,0
大きな,おおきな,big,0
曇り,くもり,cloudy weather,0
白い,しろい,White,0
飲み物,のみもの,a drink,0
掃除,そうじする,"to clean, to sweep",0
時間,じかん,Time,0
昼御飯,ひるごはん,midday meal,0
店,みせ,shop,0
火曜日,かようび,Tuesday,0
誰,だれか,somebody,0
丈夫,じょうぶ,"strong, durable",0
先週,せんしゅう,last week,0
会う,あう,to meet,0
西,にし,west,0
狭い,せまい,Narrow,0
覚える,おぼえる,to remember,0
入れる,いれる,to put in,0
道,みち,street,0
電気,でんき,"electricity,electric light",0
学生,がくせい,Student,0
御飯,ごはん,"cooked rice, meal",0
近い,ちかい,near,0
昨日,きのう,Yesterday,0
後,あと,afterwards,0
作文,さくぶん,"composition, writing",0
終る,おわる,to finish,0
お兄さん,おにいさん,(honorable) older brother,0
目,め,eye,0
門,もん,gate,0
読む,よむ,to read,0
冷たい,つめたい,cold to the touch,0
地図,ちず,map,0
学校,がっこう,School,0
煩い,うるさい,"noisy, annoying",0
三日,みっか,"three days, third day of the month",0
大使館,たいしかん,embassy,0
青い,あおい,blue,0
駅,えき,station,0
座る,すわる,to sit,0
二人,ふたり,two people,0
来年,らいねん,next year,0
飛ぶ,とぶ,"to fly,to hop",0
起きる,おきる,to get up,0
四,し / よん,Four,0
私,わたし,"I,myself",0
毎晩,まいばん,every night,0
八,はち,eight,0
喫茶店,きっさてん,coffee lounge,0
二つ,ふたつ,two,0
古い,ふるい,old (not used for people),0
二日,ふつか,"two days, second day of the month",0
外国,がいこく,foreign country,0
庭,にわ,garden,0
広い,ひろい,"spacious,wide",0
置く,おく,to put,0
一緒,いっしょ,together,0
洗う,あらう,to wash,0
映画館,えいがかん,cinema,0
低い,ひくい,"short,low",0
卵,たまご,egg,0
言葉,ことば,"word, language",0
青,あお,blue,0
降る,ふる,"to fall, e.g. rain or snow",0
暇,ひま,free time,0
飴,あめ,candy,0
灰皿,はいざら,ashtray,0
違う,ちがう,to differ,0
交差点,こうさてん,intersection,0
宿題,しゅくだい,homework,0
漢字,かんじ,Chinese character,0
地下鉄,ちかてつ,underground train,0
水,みず,water,0
